Feature;Number of comments
supposedly;4
tentatively;1
presumably;45
theoretical;2
probably;706
frequently;4
sometimes;37
prone to;4
frequent;1
occasional;2
indicative;2
characteristic;9
seemingly;2
general;95
uncommon;5
routinely;2
common;163
seldom;1
rare;6
theoretically;2
occasionally;1
usually;179
popular;1
regular;32
possibly;44
likely;89
unlikely;27
normal;53
commonly;6
usual;31
probable;2
possible;342
generally;62
apparent;2
apparently;51
hypothetical;1
rarely;4
potentially;27
normally;36
Total;2083